POINT_X,POINT_Y,id
312514.2862,449724.252,NOU01h1
312614.2312,449720.9365,NOU01h1
312617.5467,449820.8815,NOU01h1
312517.6017,449824.1971,NOU01h1
312517.6017,449824.1971,NOU01h2
312617.5467,449820.8815,NOU01h2
312620.8622,449920.8266,NOU01h2
312520.9172,449924.1421,NOU01h2
313704.3114,451320.5058,NOU02h1
313752.1806,451408.3041,NOU02h1
313664.3823,451456.1733,NOU02h1
313616.5131,451368.375,NOU02h1
313752.1806,451408.3041,NOU02h2
313800.0498,451496.1024,NOU02h2
313712.2515,451543.9716,NOU02h2
313664.3823,451456.1733,NOU02h2
313800.0498,451496.1024,NOU02h3
313847.919,451583.9007,NOU02h3
313760.1207,451631.7699,NOU02h3
313712.2515,451543.9716,NOU02h3
313847.919,451583.9007,NOU02h4
313895.7882,451671.699,NOU02h4
313807.9899,451719.5682,NOU02h4
313760.1207,451631.7699,NOU02h4
313895.7882,451671.699,NOU02h5
313943.6574,451759.4973,NOU02h5
313855.8591,451807.3665,NOU02h5
313807.9899,451719.5682,NOU02h5
313943.6574,451759.4973,NOU02h6
313991.5265,451847.2956,NOU02h6
313903.7282,451895.1648,NOU02h6
313855.8591,451807.3665,NOU02h6
313991.5265,451847.2956,NOU02h7
314039.3957,451935.0939,NOU02h7
313951.5974,451982.9631,NOU02h7
313903.7282,451895.1648,NOU02h7
314039.3957,451935.0939,NOU02h8
314087.2649,452022.8922,NOU02h8
313999.4666,452070.7614,NOU02h8
313951.5974,451982.9631,NOU02h8
314087.2649,452022.8922,NOU02h9
314135.1341,452110.6905,NOU02h9
314047.3358,452158.5597,NOU02h9
313999.4666,452070.7614,NOU02h9
314135.1341,452110.6905,NOU02h10
314183.0033,452198.4888,NOU02h10
314095.205,452246.358,NOU02h10
314047.3358,452158.5597,NOU02h10
313129.3929,446508.6265,NOU03h1
313229.3854,446507.4048,NOU03h1
313230.6071,446607.3974,NOU03h1
313130.6146,446608.6191,NOU03h1
313130.6146,446608.6191,NOU03h2
313230.6071,446607.3974,NOU03h2
313231.8288,446707.3899,NOU03h2
313131.8363,446708.6116,NOU03h2
313131.8363,446708.6116,NOU03h3
313231.8288,446707.3899,NOU03h3
313233.0505,446807.3824,NOU03h3
313133.058,446808.6041,NOU03h3
313229.3854,446507.4048,NOU03h4
313329.3779,446506.1831,NOU03h4
313330.5996,446606.1757,NOU03h4
313230.6071,446607.3974,NOU03h4
313230.6071,446607.3974,NOU03h5
313330.5996,446606.1757,NOU03h5
313331.8213,446706.1682,NOU03h5
313231.8288,446707.3899,NOU03h5
313231.8288,446707.3899,NOU03h6
313331.8213,446706.1682,NOU03h6
313333.043,446806.1607,NOU03h6
313233.0505,446807.3824,NOU03h6
313216.7083,451258.6465,NOU04h1
313263.9634,451346.7768,NOU04h1
313175.833,451394.0319,NOU04h1
313128.5779,451305.9016,NOU04h1
313128.5779,451305.9016,NOU04h2
313175.833,451394.0319,NOU04h2
313087.7027,451441.287,NOU04h2
313040.4476,451353.1566,NOU04h2
